name,lat,lng,country_id,place_type_id
Diffa,13.31669702,12.61670435,148,2
Dikhil,11.10400195,42.37200037,56,2
Dimashq,33.49999805,36.29999734,201,2
Dimbokro,6.643998068,-4.705001613,50,2
Dimbovita,44.93799904,25.45900231,169,2
Dinguiraye,11.29899597,-10.72600159,87,2
Diourbel,14.65299892,-16.23400157,176,2
District of Columbia,38.89090807,-76.95383369,220,2
Distrito Especial,4.630220967,-74.08051163,44,2
Distrito Federal,-34.62249601,-58.4498337,9,2
Distrito Federal,-15.79211094,-47.89774766,27,2
Distrito Federal,19.42704908,-99.12757465,130,2
Distrito Federal,10.49604295,-66.89827756,224,2
Divo,5.839001981,-5.360003643,50,2
Diyala,33.74399692,44.64299733,97,2
